what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1456480960974
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456480974271
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481004283
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481060126
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456481063876
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1456481065720
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1456481065814
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1456481065814
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1456481066923
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456481075205
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481075803
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481076600
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1456481077147
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1456481077303
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481085444
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481097485
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1456481099407
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1456481103211
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456481109652
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481109715
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481114474
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456481120865
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481121693
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481210175
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456481313702
