what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1457945317600
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1457945319195
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457945321703
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457945321772
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457945327277
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457945332446
started,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1457945332899
started,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1457945333082
started,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1457945333092
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1457945333326
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.ui,1457945333589
started,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1457945334295
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1457945334884
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457945335459
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457945335726
started,bundle,org.eclipse.jst.jsf.ui,1.1.101.v20080909,org.eclipse.jst.jsf.ui,1457945335741
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1457945335842
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.202.v200809040612,org.eclipse.jst.j2ee.ejb,1457945335912
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1457945335967
started,bundle,org.eclipse.wst.xsd.core,1.1.301.v200807240448,org.eclipse.wst.xsd.core,1457945336049
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1457945336141
started,bundle,org.eclipse.jpt.core,2.0.101.v200809020200,org.eclipse.jpt.core,1457945336294
started,bundle,org.eclipse.jst.j2ee.jca,1.1.202.v200809102205,org.eclipse.jst.j2ee.jca,1457945336384
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457945338260
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457946286111
